Game Is WIN!
KTS	ID	FD	KD	LT	
23	1	10	4	14	
42	49	23	3	26	
45	2	9	26	35	
46	46	42	3	45	
52	42	45	6	51	
56	43	34	10	44	
56	37	26	3	29	
60	0	0	41	41	
64	5	50	4	54	
65	15	34	5	39	
65	21	28	5	33	
68	48	50	8	58	
89	6	34	29	63	
89	8	52	29	81	
89	18	32	29	61	
89	26	58	29	87	
89	28	30	29	59	
91	12	44	31	75	
91	19	52	31	83	
92	7	35	32	67	
92	40	39	32	71	
92	44	21	32	53	
93	30	55	33	88	
94	38	58	34	92	
101	27	5	64	69	
101	39	12	54	66	
101	34	18	44	62	
102	23	29	65	94	
102	24	5	65	70	
107	13	7	70	77	
108	32	36	71	107	
108	11	8	71	79	
109	45	21	70	91	
109	29	14	72	86	
109	17	0	72	72	
109	35	32	52	84	
133	22	34	96	130	
133	16	3	96	99	
133	9	26	96	122	
133	3	0	96	96	
135	25	25	98	123	
135	36	11	96	107	
135	20	30	98	128	
136	31	28	99	127	
136	41	9	97	106	
136	14	25	99	124	
136	33	30	99	129	
136	10	7	99	106	
136	47	33	97	130	
136	4	27	99	126	
Castle Total Damage         = 8.881
Total Enemies                   = 50
Average First - Shot Delay = 26.72
Average Kill Delay	         = 52.46
